 

stn;time;tre200s0
MOE;202304070520;5.5
MOE;202304070530;5.1
MOE;202304070540;5.7
MOE;202304070550;5.7
MOE;202304070600;5.5
MOE;202304070610;5.4
MOE;202304070620;5.5
MOE;202304070630;5.7
MOE;202304070640;5.7
MOE;202304070650;5.8
MOE;202304070700;6.0
MOE;202304070710;6.3
MOE;202304070720;6.4
MOE;202304070730;6.6
MOE;202304070740;6.8
MOE;202304070750;6.7
MOE;202304070800;6.6
MOE;202304070810;6.6
MOE;202304070820;6.5
MOE;202304070830;6.5
MOE;202304070840;6.2
MOE;202304070850;6.1
MOE;202304070900;6.2
MOE;202304070910;6.3
MOE;202304070920;6.1
MOE;202304070930;5.9
MOE;202304070940;6.1
MOE;202304070950;5.9
MOE;202304071000;5.9
MOE;202304071010;5.9
MOE;202304071020;6.0
MOE;202304071030;5.9
MOE;202304071040;6.1
MOE;202304071050;6.0
MOE;202304071100;5.7
MOE;202304071110;5.8
MOE;202304071120;6.1
MOE;202304071130;6.1
MOE;202304071140;6.4
MOE;202304071150;6.4
MOE;202304071200;6.6
MOE;202304071210;6.6
MOE;202304071220;6.9
MOE;202304071230;7.0
MOE;202304071240;6.8
MOE;202304071250;6.9
MOE;202304071300;6.7
MOE;202304071310;6.6
MOE;202304071320;6.7
MOE;202304071330;6.5
MOE;202304071340;6.3
MOE;202304071350;6.5
MOE;202304071400;6.6
MOE;202304071410;6.8
MOE;202304071420;7.0
MOE;202304071430;7.0
MOE;202304071440;7.0
MOE;202304071450;7.0
MOE;202304071500;6.9
MOE;202304071510;6.8
MOE;202304071520;6.8
MOE;202304071530;6.9
MOE;202304071540;6.9
MOE;202304071550;6.9
MOE;202304071600;7.0
MOE;202304071610;7.0
MOE;202304071620;7.0
MOE;202304071630;7.0
MOE;202304071640;7.0
MOE;202304071650;6.9
MOE;202304071700;6.9
MOE;202304071710;6.9
MOE;202304071720;6.9
MOE;202304071730;6.9
MOE;202304071740;6.8
MOE;202304071750;6.8
MOE;202304071800;6.7
MOE;202304071810;6.6
MOE;202304071820;6.5
MOE;202304071830;6.5
MOE;202304071840;6.4
MOE;202304071850;6.3
MOE;202304071900;6.1
MOE;202304071910;5.8
MOE;202304071920;5.7
MOE;202304071930;5.6
MOE;202304071940;5.5
MOE;202304071950;5.5
MOE;202304072000;5.4
MOE;202304072010;5.4
MOE;202304072020;5.6
MOE;202304072030;5.6
MOE;202304072040;5.6
MOE;202304072050;5.5
MOE;202304072100;5.5
MOE;202304072110;5.4
MOE;202304072120;5.4
MOE;202304072130;5.5
MOE;202304072140;5.7
MOE;202304072150;5.7
MOE;202304072200;5.6
MOE;202304072210;5.5
MOE;202304072220;5.5
MOE;202304072230;5.5
MOE;202304072240;5.5
MOE;202304072250;5.6
MOE;202304072300;5.6
MOE;202304072310;5.5
MOE;202304072320;5.3
MOE;202304072330;5.4
MOE;202304072340;5.4
MOE;202304072350;5.2
MOE;202304080000;5.2
MOE;202304080010;5.2
MOE;202304080020;4.9
MOE;202304080030;4.8
MOE;202304080040;4.6
MOE;202304080050;4.3
MOE;202304080100;4.0
MOE;202304080110;4.0
MOE;202304080120;3.2
MOE;202304080130;3.0
MOE;202304080140;3.2
MOE;202304080150;3.4
MOE;202304080200;3.6
MOE;202304080210;3.5
MOE;202304080220;3.8
MOE;202304080230;3.9
MOE;202304080240;3.8
MOE;202304080250;3.8
MOE;202304080300;3.9
MOE;202304080310;4.0
MOE;202304080320;4.1
MOE;202304080330;4.0
MOE;202304080340;3.9
MOE;202304080350;3.8
MOE;202304080400;3.6
MOE;202304080410;3.4
MOE;202304080420;2.7
MOE;202304080430;2.5
MOE;202304080440;2.0
MOE;202304080450;2.3
MOE;202304080500;2.3
MOE;202304080510;2.4
MOE;202304080520;2.6
MOE;202304080530;3.0
MOE;202304080540;3.5
MOE;202304080550;3.7
MOE;202304080600;3.8
MOE;202304080610;4.0
MOE;202304080620;4.3
MOE;202304080630;4.5
MOE;202304080640;4.7
MOE;202304080650;4.9
MOE;202304080700;5.2
MOE;202304080710;5.3
MOE;202304080720;5.7
MOE;202304080730;5.9
MOE;202304080740;6.0
MOE;202304080750;6.3
MOE;202304080800;6.4
MOE;202304080810;6.7
MOE;202304080820;6.9
MOE;202304080830;7.1
MOE;202304080840;7.2
MOE;202304080850;7.6
MOE;202304080900;7.7
MOE;202304080910;8.2
MOE;202304080920;8.3
MOE;202304080930;8.4
MOE;202304080940;8.6
