 

stn;time;tre200s0
GRA;202305122230;9.2
GRA;202305122240;9.1
GRA;202305122250;8.6
GRA;202305122300;8.4
GRA;202305122310;8.7
GRA;202305122320;8.9
GRA;202305122330;9.0
GRA;202305122340;9.2
GRA;202305122350;9.0
GRA;202305130000;8.8
GRA;202305130010;8.7
GRA;202305130020;8.6
GRA;202305130030;8.8
GRA;202305130040;8.5
GRA;202305130050;7.9
GRA;202305130100;7.8
GRA;202305130110;7.3
GRA;202305130120;7.5
GRA;202305130130;7.6
GRA;202305130140;7.6
GRA;202305130150;7.6
GRA;202305130200;7.7
GRA;202305130210;7.6
GRA;202305130220;7.7
GRA;202305130230;7.7
GRA;202305130240;7.7
GRA;202305130250;7.4
GRA;202305130300;7.1
GRA;202305130310;6.9
GRA;202305130320;6.9
GRA;202305130330;7.4
GRA;202305130340;7.7
GRA;202305130350;8.2
GRA;202305130400;8.4
GRA;202305130410;8.3
GRA;202305130420;8.4
GRA;202305130430;8.5
GRA;202305130440;8.7
GRA;202305130450;8.8
GRA;202305130500;9.0
GRA;202305130510;8.9
GRA;202305130520;9.1
GRA;202305130530;9.1
GRA;202305130540;9.2
GRA;202305130550;9.4
GRA;202305130600;9.4
GRA;202305130610;9.6
GRA;202305130620;9.6
GRA;202305130630;9.7
GRA;202305130640;9.9
GRA;202305130650;10.2
GRA;202305130700;10.2
GRA;202305130710;10.4
GRA;202305130720;10.5
GRA;202305130730;9.9
GRA;202305130740;9.9
GRA;202305130750;10.2
GRA;202305130800;10.6
GRA;202305130810;10.6
GRA;202305130820;10.7
GRA;202305130830;10.7
GRA;202305130840;10.9
GRA;202305130850;11.1
GRA;202305130900;11.2
GRA;202305130910;11.2
GRA;202305130920;11.5
GRA;202305130930;12.1
GRA;202305130940;12.5
GRA;202305130950;12.8
GRA;202305131000;13.6
GRA;202305131010;14.1
GRA;202305131020;14.0
GRA;202305131030;13.7
GRA;202305131040;13.7
GRA;202305131050;13.9
GRA;202305131100;13.7
GRA;202305131110;13.3
GRA;202305131120;13.4
GRA;202305131130;13.8
GRA;202305131140;14.1
GRA;202305131150;14.5
GRA;202305131200;14.7
GRA;202305131210;14.4
GRA;202305131220;14.2
GRA;202305131230;14.5
GRA;202305131240;14.4
GRA;202305131250;13.3
GRA;202305131300;13.1
GRA;202305131310;12.9
GRA;202305131320;12.7
GRA;202305131330;12.6
GRA;202305131340;12.8
GRA;202305131350;13.0
GRA;202305131400;13.2
GRA;202305131410;12.8
GRA;202305131420;12.3
GRA;202305131430;11.9
GRA;202305131440;10.9
GRA;202305131450;10.4
GRA;202305131500;10.2
GRA;202305131510;10.0
GRA;202305131520;9.9
GRA;202305131530;9.9
GRA;202305131540;10.0
GRA;202305131550;10.0
GRA;202305131600;9.9
GRA;202305131610;9.8
GRA;202305131620;9.9
GRA;202305131630;9.8
GRA;202305131640;9.8
GRA;202305131650;10.0
GRA;202305131700;10.2
GRA;202305131710;10.3
GRA;202305131720;10.3
GRA;202305131730;10.3
GRA;202305131740;10.2
GRA;202305131750;10.2
GRA;202305131800;10.1
GRA;202305131810;10.1
GRA;202305131820;10.0
GRA;202305131830;10.0
GRA;202305131840;9.9
GRA;202305131850;9.8
GRA;202305131900;9.9
GRA;202305131910;10.0
GRA;202305131920;9.8
GRA;202305131930;9.8
GRA;202305131940;9.7
GRA;202305131950;9.6
GRA;202305132000;9.6
GRA;202305132010;9.5
GRA;202305132020;9.6
GRA;202305132030;9.6
GRA;202305132040;9.5
GRA;202305132050;9.4
GRA;202305132100;9.4
GRA;202305132110;9.3
GRA;202305132120;9.2
GRA;202305132130;9.0
GRA;202305132140;9.1
GRA;202305132150;9.1
GRA;202305132200;9.1
GRA;202305132210;9.0
GRA;202305132220;8.9
GRA;202305132230;9.0
GRA;202305132240;9.0
GRA;202305132250;9.2
GRA;202305132300;9.1
GRA;202305132310;9.1
GRA;202305132320;9.1
GRA;202305132330;9.1
GRA;202305132340;9.1
GRA;202305132350;8.9
GRA;202305140000;8.9
GRA;202305140010;8.8
GRA;202305140020;8.6
GRA;202305140030;8.6
GRA;202305140040;8.7
GRA;202305140050;8.5
GRA;202305140100;8.5
GRA;202305140110;8.3
GRA;202305140120;8.0
GRA;202305140130;8.0
GRA;202305140140;8.0
GRA;202305140150;8.0
GRA;202305140200;8.2
GRA;202305140210;8.3
